0,IIIT Hyderabad,4_M_462,Viroopaksha temple,Hampi,Nandi,,Bull of Shiva,,,Bull,,,,,,,,sculpture,statue,,
1,IIIT Hyderabad,4_M_478,Viroopaksha temple,Hampi,Nandi,,Bull of Shiva,,,Bull,,,,,,,,sculpture,statue,,
2,IIIT Hyderabad,4_M_479,Viroopaksha temple,Hampi,Nandi,,Bull of Shiva,,,Bull,,,,,,,,sculpture,statue,,
3,IIIT Hyderabad,4_M_482,Viroopaksha temple,Hampi,Nandi,,Bull of Shiva,,,Bull,,,,,,,,sculpture,statue,,
4,IIIT Hyderabad,4_M_717,Sasivekalu Ganesha temple,Hampi,Ganesha,,Sasivekalu Ganesha,,,,,,,,,,,,,One of the two giant statues of Ganesha,\N
5,IIIT Hyderabad,4_M_726,Sasivekalu Ganesha temple,Hampi,Ganesha,Gada,Sasivekalu Ganesha,,,,,,,,,,,,,One of the two giant statues of Ganesha,
6,IIIT Hyderabad,2_M_17283,Hazara Rama temple,Hampi,,,,,,,Army,,Sword and Shield,,,,,,,,null
7,IIIT Hyderabad,2_M_17284,Hazara Rama temple,Hampi,,,,,,,Army,,Sword and Shield,,,,,,,,null
8,IIIT Hyderabad,2_M_17288,Hazara Rama temple,Hampi,,,,,,,Army,,Sword and Shield,,,,,,,,null
9,IIIT Hyderabad,2_M_17290,Hazara Rama temple,Hampi,,,,,,,Army,,Sword and Shield,,,,,,,,null
10,IIIT Hyderabad,2_M_17301,Hazara Rama temple,Hampi,,,,,,,Army-Dancer,,Bow-Arrow,,,,,,,,null
11,IIIT Hyderabad,2_M_17302,Hazara Rama temple,Hampi,,,,,,,Army,,Bow-Arrow,,,,,,,,null
12,IIIT Hyderabad,2_M_17325,Hazara Rama temple,Hampi,Ram,Bow-Arrow,,,,,Sita-Lakshmana,,Bow-Arrow,Chariot,,,,,statue,,\N
13,IIIT Hyderabad,2_M_17330,Hazara Rama temple,Hampi,Ram,Bow-Arrow,,,,,Sita-Lakshmana,,Bow-Arrow,Chariot,,,,,,,\N
14,IIIT Hyderabad,2_M_17374,Hazara Rama temple,Hampi,,,,,,Horse-Elephant,,,,,,,,,,,\N
15,IIIT Hyderabad,2_M_17431,Hazara Rama temple,Hampi,,,,,,Horse,,,,,,,,,,,\N
16,IIIT Hyderabad,2_M_17437,Hazara Rama temple,Hampi,,,,,,Horse,,,,,,,,,,,\N
17,IIIT Hyderabad,2_M_17453,Hazara Rama temple,Hampi,,,,,,Horse,,,,,,,,,,,\N
18,IIIT Hyderabad,2_M_17458,Hazara Rama temple,Hampi,,,,,,Horse,,,,,,,,,,,\N
19,IIIT Hyderabad,2_M_17460,Hazara Rama temple,Hampi,,,,,,Horse,,,,,,,,,,,\N
20,IIIT Hyderabad,2_M_17337,Hazara Rama temple,Hampi,,,,,,Elephant,,,,,,,,,,,\N
21,IIIT Hyderabad,2_M_17339,Hazara Rama temple,Hampi,,,,,,Elephant,,,,,,,,,,,\N
22,IIIT Hyderabad,2_M_17346,Hazara Rama temple,Hampi,,,,,,Elephant,,,,,,,,,,,\N
